,Power_kW,temp_C,HR,windSpeed_m/s,windGust_m/s,pres_mbar,solarRad_W/m2,rain_mm/h,rain_day,holiday,weekend,hour,day,month,Power_kW_-1_day
2017-04-14 01:00:00,106.905058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,14,4,103.0299605
2017-04-14 02:00:00,106.548903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,2,14,4,100.583416
2017-04-14 03:00:00,102.486551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,3,14,4,92.3107875
2017-04-14 04:00:00,103.739867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,4,14,4,95.779475
2017-04-14 05:00:00,102.5129895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,5,14,4,100.892375
2017-04-14 06:00:00,102.034256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,6,14,4,105.8001035
2017-04-14 07:00:00,108.758375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,7,14,4,124.26095
2017-04-14 08:00:00,111.4155535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,8,14,4,419.424734
2017-04-14 09:00:00,102.4727855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,9,14,4,289.982275
2017-04-14 10:00:00,103.4560355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,10,14,4,318.6641145
2017-04-14 11:00:00,115.257876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,11,14,4,304.3838285
2017-04-14 12:00:00,107.2325895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,12,14,4,330.863625
2017-04-14 13:00:00,107.805278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,13,14,4,341.608581
2017-04-14 14:00:00,116.71833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,14,14,4,318.8352
2017-04-14 15:00:00,108.5361605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,15,14,4,352.802336
2017-04-14 16:00:00,107.2893995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,16,14,4,204.5232105
2017-04-14 17:00:00,106.86835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,17,14,4,185.9131285
2017-04-14 18:00:00,109.4219595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,18,14,4,163.711125
2017-04-14 19:00:00,103.899809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,19,14,4,140.922449
2017-04-14 20:00:00,113.1539395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,20,14,4,136.487773
2017-04-14 21:00:00,103.841251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,21,14,4,106.7409645
2017-04-14 22:00:00,99.3700855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,22,14,4,109.544975
2017-04-14 23:00:00,102.4622975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,23,14,4,103.98415
2017-04-15 00:00:00,97.9170605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,15,4,105.8551655
2017-04-15 01:00:00,97.9332295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,15,4,106.905058
2017-04-15 02:00:00,99.384725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2,15,4,106.548903
2017-04-15 03:00:00,91.0526645,13.73625,79.275,0.0,0.0,1022.0,0.0,0.0,0.0,0,1,3,15,4,102.486551
2017-04-15 04:00:00,96.0089,13.616666666666667,79.4,0.0,0.0,1022.0,0.0,0.0,0.0,0,1,4,15,4,103.739867
2017-04-15 05:00:00,101.106505,13.628333333333332,77.78333333333333,0.0,0.0,1022.0,0.0,0.0,0.0,0,1,5,15,4,102.5129895
2017-04-15 06:00:00,96.1629425,13.5775,77.45,0.0,0.0,1022.0,0.4061666666666666,0.0,0.0,0,1,6,15,4,102.034256
2017-04-15 07:00:00,106.048975,13.598333333333334,77.64999999999999,0.0,0.0,1022.5833333333334,33.201,0.0,0.0,0,1,7,15,4,108.758375
2017-04-15 08:00:00,113.125753,14.044166666666667,75.68333333333334,0.0,0.0,1023.0,159.625,0.0,0.0,0,1,8,15,4,111.4155535
2017-04-15 09:00:00,103.842125,14.729999999999999,69.57666666666667,0.0,0.0,1023.0,362.39166666666665,0.0,0.0,0,1,9,15,4,102.4727855
2017-04-15 10:00:00,100.5893155,16.211666666666666,60.8725,0.0,0.0,1023.0,569.0583333333333,0.0,0.0,0,1,10,15,4,103.4560355
2017-04-15 11:00:00,108.727348,17.4875,53.685,0.0,0.0,1023.0,758.9499999999999,0.0,0.0,0,1,11,15,4,115.257876
2017-04-15 12:00:00,103.15385,18.924166666666668,45.45416666666667,0.0,0.0,1022.5,797.9166666666666,0.0,0.0,0,1,12,15,4,107.2325895
2017-04-15 13:00:00,109.5119815,19.8475,40.74333333333333,0.0,0.0,1022.0,825.25,0.0,0.0,0,1,13,15,4,107.805278
